AU;TI;SO;TC;PY;VL;IS;BP;EP;DOI
"Mukherjee, S; Mishra, V";A sixfold rise in concurrent day and night-time heatwaves in India under 2 degrees C warming;SCIENTIFIC REPORTS;4;2018;8;;;;https://doi.org/10.1038/s41598-018-35348-w
"Hsiang, SM; Burke, M; Miguel, E";Quantifying the Influence of Climate on Human Conflict;SCIENCE;483;2013;341;6151;1212;+;https://doi.org/10.1126/science.1235367
Newman, EA;Disturbance Ecology in the Anthropocene;FRONTIERS IN ECOLOGY AND EVOLUTION;0;2019;7;;;;https://doi.org/10.3389/fevo.2019.00147
"Schillereff, DN; Chiverrell, RC; Macdonald, N; Hooke, JM; Welsh, KE; Piliposian, G; Croudace, IW";Convergent human and climate forcing of late-Holocene flooding in Northwest England;GLOBAL AND PLANETARY CHANGE;1;2019;182;;;;https://doi.org/10.1016/j.gloplacha.2019.102998
"Anderson, JB; Rodriguez, AB; Milliken, KT; Taviani, M";The Holocene evolution of the Galveston estuary complex, Texas: Evidence for rapid change in estuarine environments;RESPONSE OF UPPER GULF COAST ESTUARIES TO HOLOCENE CLIMATE CHANGE AND SEA-LEVEL RISE;32;2008;443;;89;104;https://doi.org/10.1130/2008.2443(06)
Lewin, J;Enlightenment and the GM floodplain;EARTH SURFACE PROCESSES AND LANDFORMS;36;2013;38;1;17;29;https://doi.org/10.1002/esp.3230
"Shultz, JM; Walsh, L; Garfin, DR; Wilson, FE; Neria, Y";The 2010 Deepwater Horizon Oil Spill: The Trauma Signature of an Ecological Disaster;JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH;12;2015;42;1;58;76;https://doi.org/10.1007/s11414-014-9398-7
"Pepe, C; Sadori, L; Andrieu-Ponel, V; Salomon, F; Goiran, JP";Late Holocene pollen record from Fiume Morto (Dead River), a palaeomeander of Tiber River near Ancient Ostia (central Italy);JOURNAL OF PALEOLIMNOLOGY;5;2016;56;03. Feb;173;187;https://doi.org/10.1007/s10933-016-9903-5
"Larsen, PA; Hayes, CE; Williams, CV; Junge, RE; Razafindramanana, J; Mass, V; Rakotondrainibe, H; Yoder, AD";Blood transcriptomes reveal novel parasitic zoonoses circulating in Madagascar's lemurs;BIOLOGY LETTERS;11;2016;12;1;;;https://doi.org/10.1098/rsbl.2015.0829
"Lehmann, J; Coumou, D; Frieler, K";Increased record-breaking precipitation events under global warming;CLIMATIC CHANGE;97;2015;132;4;501;515;https://doi.org/10.1007/s10584-015-1434-y
"Sinha, P; Kriegner, CJ; Schew, WA; Kaczmar, SW; Traister, M; Wilson, DJ";Regulatory policy governing cadmium-telluride photovoltaics: A case study contrasting life cycle management with the precautionary principle;ENERGY POLICY;21;2008;36;1;381;387;https://doi.org/10.1016/j.enpol.2007.09.017
"Robinson, E; Van Strydonck, M; Gelorini, V; Crombe, P";Radiocarbon chronology and the correlation of hunter-gatherer sociocultural change with abrupt palaeoclimate change: the Middle Mesolithic in the Rhine-Meuse-Scheldt area of northwest Europe;JOURNAL OF ARCHAEOLOGICAL SCIENCE;21;2013;40;1;755;763;https://doi.org/10.1016/j.jas.2012.08.018
Westcott, NE;The Prolonged 1954 Midwestern U.S. Heat Wave: Impacts and Responses;WEATHER CLIMATE AND SOCIETY;7;2011;3;3;165;176;https://doi.org/10.1175/WCAS-D-10-05002.1
Carter, CV;'Tuyaw', a Reminder of the Dead or Another Way to Talk about the Weather in the Age of the Super-Typhoon;JOURNAL OF HISTORICAL SOCIOLOGY;0;2019;32;1;38;48;https://doi.org/10.1111/johs.12227
"Findell, KL; Berg, A; Gentine, P; Krasting, JP; Lintner, BR; Malyshev, S; Santanello, JA; Shevliakova, E";The impact of anthropogenic land use and land cover change on regional climate extremes;NATURE COMMUNICATIONS;34;2017;8;;;;https://doi.org/10.1038/s41467-017-01038-w
"Haq, SMA; Ahmed, KJ";Does the perception of climate change vary with the socio-demographic dimensions? A study on vulnerable populations in Bangladesh;NATURAL HAZARDS;6;2017;85;3;1759;1785;https://doi.org/10.1007/s11069-016-2664-7
"Grosso, N; Dias, L; Costa, HP; Santos, FD; Garrett, P";Continental Portuguese Territory Flood Social Susceptibility Index;NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;1;2015;15;8;1921;1931;https://doi.org/10.5194/nhess-15-1921-2015
"Donges, JF; Donner, RV; Marwan, N; Breitenbach, SFM; Rehfeld, K; Kurths, J";Non-linear regime shifts in Holocene Asian monsoon variability: potential impacts on cultural change and migratory patterns;CLIMATE OF THE PAST;17;2015;11;5;709;741;https://doi.org/10.5194/cp-11-709-2015
"Tittel, J; Buttner, O; Freier, K; Heiser, A; Sudbrack, R; Ollesch, G";The age of terrestrial carbon export and rainfall intensity in a temperate river headwater system;BIOGEOCHEMISTRY;20;2013;115;03. Jan;53;63;https://doi.org/10.1007/s10533-013-9896-3
Rehman, G;GLOF Risk and Reduction Approaches in Pakistan;DISASTER RISK REDUCTION APPROACHES IN PAKISTAN;0;2015;;;217;237;https://doi.org/10.1007/978-4-431-55369-4_12
"Shi, J; Cui, LL; Wen, KM; Tian, Z; Wei, PP; Zhang, BW";Trends in the consecutive days of temperature and precipitation extremes in China during 1961-2015;ENVIRONMENTAL RESEARCH;18;2018;161;;381;391;https://doi.org/10.1016/j.envres.2017.11.037
"Buntgen, U; Brazdil, R; Heussner, KU; Hofmann, J; Kontic, R; Kyncl, T; Pfister, C; Chroma, K; Tegel, W";Combined dendro-documentary evidence of Central European hydroclimatic springtime extremes over the last millennium;QUATERNARY SCIENCE REVIEWS;34;2011;30;27-28;3947;3959;https://doi.org/10.1016/j.quascirev.2011.10.010
Li, MH;Trends and Seasonal Variations of Climate, Air Quality, and Mortality in Three Major Cities in Taiwan;CLIMATE CHANGE AND AIR POLLUTION: THE IMPACT ON HUMAN HEALTH IN DEVELOPED AND DEVELOPING COUNTRIES;0;2018;;;199;213;https://doi.org/10.1007/978-3-319-61346-8_13
"Katrantsiotis, C; Norstrom, E; Holmgren, K; Risberg, J; Skelton, A";High-resolution environmental reconstruction in SW Peloponnese, Greece, covering the last c. 6000years: Evidence from Agios Floros fen, Messenian plain;HOLOCENE;9;2016;26;2;188;204;https://doi.org/10.1177/0959683615596838
"Li, SH; Guo, W; Yin, Y; Jin, XY; Tang, W";Environmental changes inferred from lacustrine sediments and historical literature: A record from Gaoyou Lake, eastern China;QUATERNARY INTERNATIONAL;4;2015;380;;350;357;https://doi.org/10.1016/j.quaint.2015.01.010
"Mo, Y; Momen, B; Kearney, MS";Quantifying moderate resolution remote sensing phenology of Louisiana coastal marshes;ECOLOGICAL MODELLING;15;2015;312;;191;199;https://doi.org/10.1016/j.ecolmodel.2015.05.022
"Nicholls, RJ; Tol, RSJ";Impacts and responses to sea-level rise: a global analysis of the SRES scenarios over the twenty-first century;PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES;171;2006;364;1841;1073;1095;https://doi.org/10.1098/rsta.2006.1754
"Grosjean, M; Nunez, L; Cartajena, I; Messerli, B";Mid-holocene climate and culture change in the Atacama Desert, northern Chile;QUATERNARY RESEARCH;93;1997;48;2;239;246;https://doi.org/10.1006/qres.1997.1917
"Johnson, LE; Brawley, SH; Adey, WH";Secondary spread of invasive species: historic patterns and underlying mechanisms of the continuing invasion of the European rockweed Fucus serratus in eastern North America;BIOLOGICAL INVASIONS;13;2012;14;1;79;97;https://doi.org/10.1007/s10530-011-9976-z
De Costa, WAJM;Adaptation of agricultural crop production to climate change: A policy framework for Sri Lanka;JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA;12;2010;38;2;79;89;https://doi.org/
"Longman, EK; Rosenblad, K; Sax, DF";Extreme homogenization: The past, present and future of mammal assemblages on islands;GLOBAL ECOLOGY AND BIOGEOGRAPHY;6;2018;27;1;77;95;https://doi.org/10.1111/geb.12677
"Finkler, C; Baika, K; Rigakou, D; Metallinou, G; Fischer, P; Hadler, H; Emde, K; Vott, A";The sedimentary record of the Alkinoos Harbour of ancient Corcyra (Corfu Island, Greece) - geoarchaeological evidence for rapid coastal changes induced by co-seismic uplift, tsunami inundation and human interventions;ZEITSCHRIFT FUR GEOMORPHOLOGIE;0;2019;62;;197;246;https://doi.org/10.1127/zfg_suppl/2018/0514
"Harper, MP; Peckarsky, BL";Emergence cues of a mayfly in a high-altitude stream ecosystem: Potential response to climate change;ECOLOGICAL APPLICATIONS;101;2006;16;2;612;621;"https://doi.org/10.1890/1051-0761(2006)016[0612:ECOAMI]2.0.CO;2"
Wingfield, JC;Ecological processes and the ecology of stress: the impacts of abiotic environmental factors;FUNCTIONAL ECOLOGY;102;2013;27;1;37;44;https://doi.org/10.1111/1365-2435.12039
"Pontevedra-Pombal, X; Mighall, TM; Novoa-Munoz, JC; Peiteado-Varela, E; Rodriguez-Racedo, J; Garcia-Rodeja, E; Martinez-Cortizas, A";Five thousand years of atmospheric Ni, Zn, As, and Cd deposition recorded in bogs from NW Iberia: prehistoric and historic anthropogenic contributions;JOURNAL OF ARCHAEOLOGICAL SCIENCE;34;2013;40;1;764;777;https://doi.org/10.1016/j.jas.2012.07.010
"Cristina, L; Samantha, P; Pamela, T; Laura, M; Luca, A; Cinzia, F";A METEOROLOGICAL MONITORING NETWORK TO INVESTIGATE CLIMATE CHANGE IN TOWNS: SIX MEDITERRANEAN URBAN CASE STUDIES;FRESENIUS ENVIRONMENTAL BULLETIN;0;2019;28;6;4990;4997;https://doi.org/
"Chang, AL; Brown, CW; Crooks, JA; Ruiz, GM";Dry and wet periods drive rapid shifts in community assembly in an estuarine ecosystem;GLOBAL CHANGE BIOLOGY;8;2018;24;2;E627;E642;https://doi.org/10.1111/gcb.13972
"Leroy, SAG; Amini, A; Gregg, MW; Marinova, E; Bendrey, R; Zha, Y; Beni, AN; Nashli, HF";Human responses to environmental change on the southern coastal plain of the Caspian Sea during the Mesolithic and Neolithic periods;QUATERNARY SCIENCE REVIEWS;0;2019;218;;343;364;https://doi.org/10.1016/j.quascirev.2019.06.038
"Peng, F; Prins, MA; Kasse, C; Cohen, KM; Van der Putten, N; van der Lubbe, J; Toonen, WHJ; van Balen, RT";An improved method for paleoflood reconstruction and flooding phase identification, applied to the Meuse River in the Netherlands;GLOBAL AND PLANETARY CHANGE;0;2019;177;;213;224;https://doi.org/10.1016/j.gloplacha.2019.04.006
"Zhang, K; Zhao, Y; Zhou, AF; Sun, HL";Late Holocene vegetation dynamic and human activities reconstructed from lake records in western Loess Plateau, China;QUATERNARY INTERNATIONAL;19;2010;227;1;38;45;https://doi.org/10.1016/j.quaint.2010.04.019
"Li, L; Wu, L; Zhu, C; Li, F; Ma, CM";Relationship between archaeological sites distribution and environment from 1.15 Ma BP to 278 BC in Hubei Province;JOURNAL OF GEOGRAPHICAL SCIENCES;7;2011;21;5;909;925;https://doi.org/10.1007/s11442-011-0889-7
"Abd Aziz, A; Lee, K; Park, B; Park, H; Park, K; Choi, IG; Chang, IS";Comparative study of the airborne microbial communities and their functional composition in fine particulate matter (PM2.5) under non-extreme and extreme PM2.5 conditions;ATMOSPHERIC ENVIRONMENT;4;2018;194;;82;92;https://doi.org/10.1016/j.atmosenv.2018.09.027
"Wong-Parodi, G; Feygina, I";Factors Influencing (Mal)adaptive Responses to Natural Disasters: The Case of Hurricane Matthew;WEATHER CLIMATE AND SOCIETY;0;2018;10;4;747;768;https://doi.org/10.1175/WCAS-D-17-0138.1
"Sha, ZJ; Wang, QG; Wang, JL; Du, JZ; Hu, JF; Ma, YJ; Kong, FC; Wang, Z";Regional environmental change and human activity over the past hundred years recorded in the sedimentary record of Lake Qinghai, China;ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH;4;2017;24;10;9662;9674;https://doi.org/10.1007/s11356-016-8327-0
"Boykin, LM; Bell, CD; Evans, G; Small, I; De Barro, PJ";Is agriculture driving the diversification of the Bemisia tabaci species complex (Hemiptera: Sternorrhyncha: Aleyrodidae)?: Dating, diversification and biogeographic evidence revealed;BMC EVOLUTIONARY BIOLOGY;57;2013;13;;;;https://doi.org/10.1186/1471-2148-13-228
"Pinto, KST; Pereira, LCC; Vila-Concejo, A; Gorayeb, A; de Sousa, RC; da Costa, RM";Effects of the lack of coastal planning on water quality and land use on a macrotidal beach (Atalaia, Para) in the Amazon Region;JOURNAL OF COASTAL RESEARCH;16;2011;;;1401;1405;https://doi.org/
"Wetter, O; Pfister, C";An underestimated record breaking event - why summer 1540 was likely warmer than 2003;CLIMATE OF THE PAST;20;2013;9;1;41;56;https://doi.org/10.5194/cp-9-41-2013
"Schauwecker, S; Gascon, E; Park, S; Ruiz-Villanueva, V; Schwarb, M; Sempere-Torres, D; Stoffel, M; Vitolo, C; Rohrer, M";Anticipating cascading effects of extreme precipitation with pathway schemes - Three case studies from Europe;ENVIRONMENT INTERNATIONAL;1;2019;127;;291;304;https://doi.org/10.1016/j.envint.2019.02.072
"Lin, M; Biswas, A; Bennett, EM";Spatio-temporal dynamics of groundwater storage changes in the Yellow River Basin;JOURNAL OF ENVIRONMENTAL MANAGEMENT;3;2019;235;;84;95;https://doi.org/10.1016/j.jenvman.2019.01.016
"Feio, MJ; Doledec, S; Graca, MAS";Human disturbance affects the long-term spatial synchrony of freshwater invertebrate communities;ENVIRONMENTAL POLLUTION;12;2015;196;;300;308;https://doi.org/10.1016/j.envpol.2014.09.026
Huang, CC;Holocene landscape development and human impact in the Connemara uplands, western Ireland;JOURNAL OF BIOGEOGRAPHY;32;2002;29;2;153;165;https://doi.org/10.1046/j.1365-2699.2002.00661.x
"Haberle, SG; Tibby, J; Dimitriadis, S; Heijnis, H";The impact of European occupation on terrestrial and aquatic ecosystem dynamics in an Australian tropical rain forest;JOURNAL OF ECOLOGY;20;2006;94;5;987;1002;https://doi.org/10.1111/j.1365-2745.2006.01140.x
"Wahl, D; Hansen, RD; Byrne, R; Anderson, L; Schreiner, T";Holocene climate variability and anthropogenic impacts from Lago Paixban, a perennial wetland in Peten, Guatemala;GLOBAL AND PLANETARY CHANGE;6;2016;138;;70;81;https://doi.org/10.1016/j.gloplacha.2015.09.011
"Jonsdottir, H; Eliasson, J; Madsen, H";Assessment of serious water shortage in the Icelandic water resource system;PHYSICS AND CHEMISTRY OF THE EARTH;6;2005;30;07. Jun;420;425;https://doi.org/10.1016/j.pce.2005.06.007
"Cayan, DR; Das, T; Pierce, DW; Barnett, TP; Tyree, M; Gershunov, A";Future dryness in the southwest US and the hydrology of the early 21st century drought;PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA;343;2010;107;50;21271;21276;https://doi.org/10.1073/pnas.0912391107
"Yang, ZM; Wang, Q; Liu, PF";Extreme temperature and mortality: evidence from China;INTERNATIONAL JOURNAL OF BIOMETEOROLOGY;1;2019;63;1;29;50;https://doi.org/10.1007/s00484-018-1635-y
"Lavaysse, C; Cammalleri, C; Dosio, A; van der Schrier, G; Toreti, A; Vogt, J";Towards a monitoring system of temperature extremes in Europe;NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;5;2018;18;1;91;104;https://doi.org/10.5194/nhess-18-91-2018
"Karki, P; Meliton, A; Shah, A; Tian, YF; Ohmura, T; Sarich, N; Birukova, AA; Birukov, KG";Role of truncated oxidized phospholipids in acute endothelial barrier dysfunction caused by particulate matter;PLOS ONE;0;2018;13;11;;;https://doi.org/10.1371/journal.pone.0206251
"Karnauskas, KB; Donnelly, JP; Anchukaitis, KJ";Future freshwater stress for island populations;NATURE CLIMATE CHANGE;19;2016;6;7;720;+;https://doi.org/10.1038/NCLIMATE2987
"Behrens, DK; Bombardelli, FA; Largier, JL; Twohy, E";Episodic closure of the tidal inlet at the mouth of the Russian River - A small bar-built estuary in California;GEOMORPHOLOGY;22;2013;189;;66;80;https://doi.org/10.1016/j.geomorph.2013.01.017
"PARKES, A; TELLER, JT; FLENLEY, JR";ENVIRONMENTAL HISTORY OF THE LAKE VAIHIRIA DRAINAGE-BASIN, TAHITI, FRENCH-POLYNESIA;JOURNAL OF BIOGEOGRAPHY;11;1992;19;4;431;447;https://doi.org/10.2307/2845571
"Pandolfi, JM; Tudhope, A; Burr, G; Chappell, J; Edinger, E; Frey, M; Steneck, R; Sharma, C; Yeates, A; Jennions, M; Lescinsky, H; Newton, A";Mass mortality following disturbance in Holocene coral reefs from Papua New Guinea;GEOLOGY;31;2006;34;11;949;952;https://doi.org/10.1130/G22814A.1
"Zheng, GM; DiGiacomo, PM; Kaushal, SS; Yuen-Murphy, MA; Duan, SW";Evolution of Sediment Plumes in the Chesapeake Bay and Implications of Climate Variability;ENVIRONMENTAL SCIENCE & TECHNOLOGY;8;2015;49;11;6494;6503;https://doi.org/10.1021/es506361p
"Campbell, SL; Remenyi, TA; Williamson, GJ; White, CJ; Johnston, FH";The Value of Local Heatwave Impact Assessment: A Case-Crossover Analysis of Hospital Emergency Department Presentations in Tasmania, Australia;INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH;0;2019;16;19;;;https://doi.org/10.3390/ijerph16193715
"Mariano, DA; dos Santos, CAC; Wardlow, BD; Anderson, MC; Schiltmeyer, AV; Tadesse, T; Svoboda, MD";Use of remote sensing indicators to assess effects of drought and human-induced land degradation on ecosystem health in Northeastern Brazil;REMOTE SENSING OF ENVIRONMENT;18;2018;213;;129;143;https://doi.org/10.1016/j.rse.2018.04.048
"De, US; Khole, M; Dandekar, MM";Natural hazards associated with meteorological extreme events;NATURAL HAZARDS;18;2004;31;2;487;497;https://doi.org/10.1023/B:NHAZ.0000023363.93647.c7
"Haberle, SG; Hope, GS; van der Kaars, S";Biomass burning in Indonesia and Papua New Guinea: natural and human induced fire events in the fossil record;PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY;116;2001;171;04. Mar;259;268;https://doi.org/10.1016/S0031-0182(01)00248-6
"Mishra, BK; Saraswat, C; Luu, LN; Tran, T; Mai, KV; Chakraborty, S; Kumar, P";Assessment of Climate Change Impacts on Urban Rainfall Extremes for Achieving Sustainable Urban Water Development in Hanoi, Vietnam;URBAN PLANNING AND WATER-RELATED DISASTER MANAGEMENT;0;2019;;;75;95;https://doi.org/10.1007/978-3-319-90173-2_6
Gregory, KJ;The human role in changing river channels;GEOMORPHOLOGY;274;2006;79;04. Mar;172;191;https://doi.org/10.1016/j.geomorph.2006.06.018
"Campos, CJA; Avant, J; Gustar, N; Lowther, J; Powell, A; Stockley, L; Lees, DN";Fate of Human Noroviruses in Shellfish and Water Impacted by Frequent Sewage Pollution Events;ENVIRONMENTAL SCIENCE & TECHNOLOGY;14;2015;49;14;8377;8385;https://doi.org/10.1021/acs.est.5b01268
"Golovanova, LV; Doronichev, VB; Cleghorn, NE; Koulkova, MA; Sapelko, TV; Shackley, MS";Significance of Ecological Factors in the Middle to Upper Paleolithic Transition;CURRENT ANTHROPOLOGY;60;2010;51;5;655;691;https://doi.org/10.1086/656185
"Cortes, M; Turco, M; Ward, P; Sanchez-Espigares, JA; Alfieri, L; Llasat, MC";Changes in flood damage with global warming on the eastern coast of Spain;NATURAL HAZARDS AND EARTH SYSTEM SCIENCES;0;2019;19;12;2855;2877;https://doi.org/10.5194/nhess-19-2855-2019
"Sheridan, SC; Dixon, PG";Spatiotemporal trends in human vulnerability and adaptation to heat across the United States;ANTHROPOCENE;11;2017;20;;61;73;https://doi.org/10.1016/j.ancene.2016.10.001
"Nie, BJ; Ni, MY; Liu, JC; Zhu, ZL; Zhu, ZL; Li, FC";Insights into potential consequences of fusion hypothetical accident, lessons learnt from the former fission accidents;ENVIRONMENTAL POLLUTION;2;2019;245;;921;931;https://doi.org/10.1016/j.envpol.2018.11.075
"Knapp, M; Thomas, JE; Haile, J; Prost, S; Ho, SYW; Dussex, N; Cameron-Christie, S; Kardailsky, O; Barnett, R; Bunce, M; Gilbert, MTP; Scofield, RP";Mitogenomic evidence of close relationships between New Zealand's extinct giant raptors and small-sized Australian sister-taxa;MOLECULAR PHYLOGENETICS AND EVOLUTION;2;2019;134;;122;128;https://doi.org/10.1016/j.ympev.2019.01.026
